No,Kode Lot,Nama Lot,Nilai Limit,Uang Jaminan,Lokasi,Unit Kerja,Tanggal Selesai,Status,Cara Penawaran,Link
1,-,1 bidang tanah dengan total luas 13636 m2 di Kota Ambon,350000000,35000000,KOTA AMBON,KPKNL Ambon,2026-01-13T08:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/c1e704a0-98ed-4095-8ed2-a27b5429bb08
2,-,1 bidang tanah dengan total luas 594 m2 berikut bangunan di Kab. Buru,359400000,71880000,KAB. BURU,KPKNL Ambon,2026-01-13T08:30:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/a1576f1d-9417-4449-b914-4a83a75c8174
3,-,"1 (satu) Unit Truck Mitsubihi, Colt Diesel, FE 74 (4x2) M/T Tahun 2007, Nomor Polisi DE 8671 AG di Kota Ambon",70804000,35402000,KOTA AMBON,KPKNL Ambon,2026-01-13T09:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/a255c5a0-1b93-4108-a941-f68df6b48e7e
4,-,1 bidang tanah dengan total luas 270 m2 di Kota Ambon,202500000,20250000,KOTA AMBON,KPKNL Ambon,2026-01-13T09:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/fd5ad533-39c4-4b04-a529-097dd6f8da77
5,-,"1 (satu) Unit Pick Up Daihatsu, S402RP-PMRFJJKJ Tahun 2018, Nomor Polisi DE 8255 AF di Kota Ambon",17596000,8798000,KOTA AMBON,KPKNL Ambon,2026-01-13T09:30:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/83306ede-b35a-4032-8ad6-d4a0b471a9da
6,-,Scrap/Besi Tua 1 (Satu) Unit Mobil Toyota Kijang di Kota Ambon,2041000,1020500,KOTA AMBON,KPKNL Ambon,2026-01-13T10:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/c34d7fc8-6a8b-4739-965e-25065cecd0b5
7,-,1 bidang tanah dengan total luas 930 m2 berikut bangunan di Kab. Maluku Tenggara,1170000000,234000000,KAB. MALUKU TENGGARA,KPKNL Ambon,2026-01-20T08:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/e430c305-7df5-4535-aeca-52f439e9e075
8,-,1 bidang tanah dengan total luas 615 m2 berikut bangunan di Kab. Maluku Tenggara,2115000000,423000000,KAB. MALUKU TENGGARA,KPKNL Ambon,2026-01-20T08:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/31328c43-d03d-49bf-a932-889fbcc0d402
9,-,1 bidang tanah dengan total luas 1014 m2 di Kota Tual,410670000,82134000,KOTA TUAL,KPKNL Ambon,2026-01-20T08:30:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/dbe2632c-f36b-470b-84ec-8eac132424f0
10,-,1 bidang tanah dengan total luas 259 m2 berikut bangunan di Kota Tual,609500000,121900000,KOTA TUAL,KPKNL Ambon,2026-01-20T09:00:00+07:00,TAYANG,OPEN_BIDDING,https://lelang.go.id/kpknl/67062db2-f64f-11ed-b3e2-5620a0c2ec5a/detail-auction/51f7cd1f-a8d6-43f1-94c9-fe5e18e23c94
